,character,freq,meaning,on,kun,nanori
8981,珵,,[],"['テイ', 'ジョウ', 'チョウ']",[],[]
8982,珷,,['1/2 pr st'],"['ブ', 'ム']",[],[]
8983,珹,,"['type of jade', 'pearl']","['セイ', 'ジョウ']",['たま'],[]
8984,珺,,['beautiful jade'],['クン'],[],[]
8985,珻,,[],"['バイ', 'メ', 'マイ']",['たま'],[]
8986,珽,,['jade tablet'],"['テイ', 'チョウ']",[],[]
8987,珿,,[],"['シュク', 'スク', 'サク']",['ひと.しい'],[]
8988,琀,,['gems of pearls formerly put into the mouth of a corpse'],"['カン', 'ゴン']",['ふくみだま'],[]
8989,琁,,"['beautiful jade', 'star']","['セン', 'ケイ']",[],[]
8990,琄,,[],"['ケン', 'ケイ', 'ギョウ']",['たま'],[]
8991,琇,,['coarse variety of jasper or jade'],"['シュウ', 'シュ', 'ユウ', 'ウ']",[],[]
8992,琊,,['(arch.) place in eastern Shandong'],['ヤ'],[],[]
8993,琑,,[],['サ'],"['ちいさ.い', 'くさり']",[]
8994,琚,,[],"['キョ', 'コ']",[],[]
8995,琛,,"['treasure', 'valuables']","['チン', 'シン']",['たから'],[]
8996,琤,,"['jade of jade being', 'tinkle']","['ソウ', 'ショウ']",[],[]
8997,琦,,"['gem', 'precious stone', 'jade']",['キ'],['たま'],[]
8998,琨,,"['beautiful jade', 'precious stones']",['コン'],[],[]
8999,琩,,[],['ショウ'],['みみだま'],[]
9000,琪,,['type of jade'],['キ'],['たま'],[]
9001,琫,,['ornament'],"['ホウ', 'フ']",[],[]
9002,琬,,"['the virtue of a gentleman', 'jade']","['エン', 'オン', 'ワン']",[],[]
9003,琭,,['jade like stone'],"['コク', 'ロク']",['たま'],[]
9004,琮,,['octagonal piece of jade with hole in middle'],"['ソウ', 'ス']",[],[]
9005,琯,,['jade tube used as an instrument'],"['カン', 'コン']",[],[]
9006,琰,,"['jewel', 'gem', 'glitter of gems']",['エン'],[],[]
9007,琱,,"['engrave', 'inlay', 'carve', 'exhaust']","['チョウ', 'チュウ']",[],[]
9008,琹,,[],['キン'],['こと'],[]
9009,瑀,,"['stone resembling jade', 'agate']",['ウ'],[],[]
9010,瑃,,[],['チュン'],[],[]
9011,瑄,,['ornamental piece of jade several'],['セン'],[],[]
9012,瑆,,[],"['セイ', 'ショウ']",[],[]
9013,瑇,,['tortoise shell'],['タイ'],['たいまい'],[]
9014,瑋,,"['type of jade', 'rare', 'valuable']",['イ'],[],[]
9015,瑍,,[],['カン'],[],[]
9016,瑑,,"['carve', 'engrave', 'cut out', 'sculpt']",['テン'],['うきぼり'],[]
9017,瑒,,[],"['チョウ', 'トウ', 'ジョウ']",[],[]
9018,瑗,,['large ring of fine jade'],"['エン', 'オン', 'カン', 'ゲン']",[],[]
9019,瑝,,[],"['コウ', 'オウ']",[],[]
9020,瑢,,[],"['ヨウ', 'ユ']",[],[]
9021,瑦,,[],"['オ', 'ウ']",[],[]
9022,瑧,,[],['シン'],['たま'],[]
9023,瑨,,['jade look alike stone'],['シン'],[],[]
9024,瑫,,[],['トウ'],[],[]
9025,瑭,,['kind of jade'],['トウ'],['たま'],[]
9026,瑮,,[],"['リツ', 'リチ']",['うつく.しい'],[]
9027,瑱,,"['gem used as ear plug', 'jade earring']","['テン', 'チン', 'シン']",['みみだま'],[]
9028,瑲,,['tinkling sound tinkling of pendant gems'],"['ショウ', 'ソウ']",[],[]
9029,璀,,"['lustre of gems', 'glitter', 'shine']","['サイ', 'スイ']",[],[]
9030,璁,,[],"['ソウ', 'ス']",[],[]
9031,璅,,['gem'],"['ソウ', 'サ']",[],[]
9032,璆,,"['beautiful jade', 'tinkle']","['キュウ', 'ク', 'ユウ', 'ユ']",[],[]
9033,璇,,"['beautiful jade', 'star']",['セン'],[],[]
9034,璉,,['vessel used hold grain offerings'],"['レン', 'リン']",['うつわ'],[]
9035,璏,,[],"['テイ', 'エツ', 'オチ', 'エイ', 'エ']",[],[]
9036,璐,,['beautiful variety of jade'],['ロ'],[],[]
9037,璑,,[],"['ブ', 'ム']",['いし'],[]
9038,璒,,[],['トウ'],['いし'],[]
9039,璘,,['luster of jade'],['リン'],[],[]
9040,璙,,[],['リョウ'],['しろがね'],[]
9041,璚,,['splendid'],"['ケイ', 'ギョウ', 'ケツ', 'ケチ']",[],[]
9042,璜,,['jade ornament semicircular in shape'],"['コウ', 'オウ']",[],[]
9043,璟,,['luster of gem'],"['エイ', 'ヨウ', 'ケイ', 'キョウ']",[],[]
9044,璠,,['piece of precious jade'],"['ハン', 'ボン']",['たま'],[]
9045,璡,,['jade look alike stone'],['シン'],[],[]
9046,璣,,['pearl that is not quite round'],"['キ', 'ケ']",['たま'],[]
9047,璦,,['fine quality jade'],['アイ'],[],[]
9048,璨,,"['gems', 'luster of gems', 'lustrous']",['サン'],[],[]
9049,璩,,"['jade ring', 'earrings', 'surname']","['キョ', 'ゴ']",[],[]
9050,璪,,['pearl pendants on coronet'],['ソウ'],['かざり'],[]
9051,璫,,"['pendant ornaments', 'earrings']",['トウ'],['みみかざり'],[]
9052,璮,,[],['タン'],['たま'],[]
9053,璯,,[],"['カイ', 'エ', 'ケ']",['かざり'],[]
9054,璱,,[],"['シツ', 'シチ']",['あざ.やか'],[]
9055,璲,,['pendant girdle ornament'],['スイ'],[],[]
9056,璵,,['beautiful jade'],['ヨ'],[],[]
9057,璹,,[],"['シュウ', 'ジュ', 'トウ']",['たま'],[]
9058,璻,,[],['スイ'],[],[]
9059,璿,,['fine jade'],"['セン', 'ケイ', 'ケ']",[],[]
9060,瓈,,['glass'],"['レイ', 'ライ', 'リ']",[],[]
9061,瓉,,[],['サン'],[],[]
9062,瓌,,"['extraordinary', 'fabulous']",['カイ'],"['たま', 'めずら.しい']",[]
9063,瓐,,[],"['ロ', 'ル']",[],[]
9064,瓓,,[],['ラン'],[],[]
9065,瓘,,['jade'],['カン'],['たま'],[]
9066,瓚,,['ceremonial libation cup'],['サン'],[],[]
9067,瓛,,['sceptre'],"['カン', 'ケン', 'コン']",[],[]
9068,瓞,,['young melons just forming'],"['テツ', 'デチ']",[],[]
9069,瓟,,['the bottle-gourd'],"['ハク', 'ホウ', 'ビョウ']",[],[]
9070,瓤,,"['flesh', 'core', 'pulp', 'pith']","['ショウ', 'ニョウ', 'ドウ', 'ノウ']",['うりわた'],[]
9071,瓨,,[],['コウ'],['かめ'],[]
9072,瓪,,[],"['ハン', 'ホン']",['めがわら'],[]
9073,瓫,,[],['ホン'],"['ほとぎ', 'あふ.れる']",[]
9074,瓯,,"['bowl', 'cup', 'small tray']",['オウ'],"['ほとぎ', 'はち', 'かめ']",[]
9075,瓴,,"['concave channels of tiling', 'long-necked jar']","['レイ', 'リイ', 'リョウ']",['かめ'],[]
9076,瓺,,[],"['チョウ', 'ジョウ']",['かめ'],[]
9077,瓻,,['jar'],"['チ', 'テキ', 'チャク']",['かめ'],[]
9078,瓼,,[],[],['さらけ'],[]
9079,瓿,,"['jar', 'pot']","['ホウ', 'フ']",['かめ'],[]
9080,甆,,[],['シ'],['かめ'],[]
9081,甒,,['jar'],"['ブ', 'ム']",['かめ'],[]
9082,甖,,"['pot', 'pitcher', 'small-mouthed earthenware pot']","['オウ', 'エイ', 'ヨウ']","['もたい', 'ほとぎ', 'かめ']",[]
9083,甗,,['earthenware vessel in two parts'],"['ゲン', 'ゴン']",['こしき'],[]
9084,甠,,[],['セイ'],[],[]
9085,甡,,"['abundant', 'numerous', 'crowd']",['シン'],[],[]
9086,甤,,"['drooping leaves', 'fringe soft', 'delicate']","['ズイ', 'ニ']",[],[]
9087,甧,,[],"['シン', 'ソン']",['おお.い'],[]
9088,甩,,"['throw away', 'discard']",['シュツ'],[],[]
9089,甪,,[],['ロク'],['つの'],[]
9090,甯,,['peaceful'],"['ネイ', 'ニュウ', 'デイ', 'ニョウ']",['ねが.い'],[]
9091,甶,,[],"['フツ', 'フチ', 'ヒ']",[],[]
9092,甹,,[],"['ヘイ', 'ビョウ']",['せわ.しい'],[]
9093,甽,,"['drain between fields', 'irrigation']","['ケン', 'ケイ', 'キョウ']",['みぞ'],[]
9094,甾,,"['ground that has been under cultivation for one year', 'evil', 'calamity']",['シ'],['かめ'],[]
9095,甿,,['farming population'],"['モウ', 'ミョウ', 'ボウ']",[],[]
9096,畀,,['to give'],['ヒ'],['あたえるもの'],[]
9097,畃,,[],['シュン'],['いいつ.け'],[]
9098,畇,,['land'],"['イン', 'シュン', 'キン']",['たがや.す'],[]
9099,畈,,[],"['ハン', 'ホン']",[],[]
9100,畎,,"['drain between fields', 'irrigation']","['ケン', 'テイ', 'キョウ']",['みぞ'],[]
9101,畐,,"['to fill', 'roll of cloth']","['フク', 'ヒョク', 'ヒキ']",[],[]
9102,畒,,"['Chinese land measure', 'fields']","['ボウ', 'ホ', 'モ', 'ム']","['せ', 'うね']",[]
9103,畗,,[],"['トウ', 'フク']",['み.ちる'],[]
9104,畞,,[],"['ボウ', 'ホ', 'モ', 'ム']","['せ', 'うね']",[]
9105,畟,,['plough'],"['ショク', 'シキ', 'ソク']",[],[]
9106,畡,,[],['カイ'],['はて'],[]
9107,畯,,"['rustic', 'crude']",['シュン'],[],[]
9108,畱,,"['to detain', 'to entertain', 'to keep', 'to put by']","['リュウ', 'ル']","['と.める', 'と.まる', 'とど.める', 'とど.まる', 'るうぶる']",[]
9109,畹,,[],['エン'],[],[]
9110,畺,,"['boundary', 'border']","['キョウ', 'コウ']",['さかい'],[]
9111,畻,,[],['ショウ'],"['あぜ', 'くろ', 'つつ.み']",[]
9112,畼,,[],"['チョウ', 'ジョウ']","['の.びる', 'なが.い', 'にわ']",[]
9113,畽,,['ground'],"['トン', 'タン', 'トウ', 'ツ']",['そろわない'],[]
9114,畾,,['fields divided by dikes'],"['ルイ', 'ライ', 'スイ']",['とりで'],[]
9115,疁,,[],"['リュ', 'ル', 'キク', 'コク', 'リュウ']",['やきばた'],[]
9116,疅,,[],"['キョウ', 'コウ']",['さかい'],[]
9117,疐,,"['fall', 'stumble', 'falter', 'hindered']","['チ', 'シ', 'テイ', 'タイ']",['つまず.く'],[]
9118,疒,,"['trailing sickness', 'sick radical (no. 104)']","['ダク', 'ニャク', 'ソウ', 'ジョウ', 'シツ']",['や.む'],[]
9119,疓,,[],"['ザイ', 'ナイ', 'ダイ', 'ネ', 'キュウ']","['や.む', 'やまい', 'ほっす']",[]
9120,疕,,['head sores'],['ヒ'],['できもの'],[]
9121,疙,,"['pimple', 'sore', 'boil', 'wart', 'pustule']","['ギツ', 'ゴチ', 'キ', 'ケ']",['おろ.か'],[]
9122,疜,,[],"['カ', 'ゲ']",['はらくだし'],[]
9123,疢,,"['aching of limbs', 'muscular pains']",['チン'],[],[]
9124,疤,,"['scar', 'cicatrix', 'birth-mark']","['ハ', 'ヘ']",['やまい'],[]
9125,疴,,"['illness', 'sickness', 'disease', 'pain']",['ア'],['やまい'],[]
9126,疺,,[],"['ホウ', 'ヘン']",['やせ.る'],[]
9127,疿,,"['prickly heat', 'rash']",['ヒ'],['あせも'],[]
9128,痀,,"['crouch', 'hunchback']","['ク', 'ウ']",['せむし'],[]
9129,痁,,['chronic malaria'],"['セン', 'テン']",['おこり'],[]
9130,痄,,['scrofulous swellings and sores'],"['サ', 'ジャ']",[],[]
9131,痆,,[],"['ダツ', 'ナチ', 'ジツ', 'ニチ']","['きず', 'きずいたみ', 'かゆ.い']",[]
9132,痌,,"['ache', 'be in pain', 'painful']","['トウ', 'ズ']",['いた.む'],[]
9133,痎,,[],['カイ'],['おこり'],[]
9134,痏,,"['bruise', 'contusion']","['イ', 'ユウ', 'ウ']",['うちきず'],[]
9135,痗,,['ill'],"['バイ', 'マイ', 'カイ']",['や.む'],[]
9136,痜,,['scabby bald head'],['トク'],['かさ'],[]
9137,痟,,[],['ショウ'],['づつう'],[]
9138,痠,,"['aching of limbs', 'muscular pains']",['サン'],['いた.む'],[]
9139,痡,,"['disease', 'ailment']","['ホ', 'フ']",['や.む'],[]
9140,痤,,['swelling of the lymph glands'],['サ'],"['はれもの', 'えのご']",[]
9141,痧,,"['cholera', 'colic']",['サ'],['これら'],[]
9142,痬,,[],"['エキ', 'ヤク', 'セキ', 'シャク']","['おろ.か', 'うつ.る']",[]
9143,痮,,"['swelled belly', 'dropsical', 'to swell', 'inflated']",['チョウ'],"['は.れる', 'ふく.らむ', 'ふく.れる']",[]
9144,痯,,['sick'],['カン'],['や.む'],[]
9145,痱,,"['heat rash', 'prickly heat', 'ulcers']","['ヒ', 'ハイ']",[],[]
9146,痹,,"['paralysis', 'numbness']",['ヒ'],['しび.れる'],[]
9147,瘀,,"['hematoma', 'contusion', 'extravasated']","['ヨ', 'オ']",['やまい'],[]
9148,瘂,,['dumb'],['ア'],['おし'],[]
9149,瘃,,['sores from cold'],"['ショク', 'ソク', 'チョク', 'トク']",['しもや.け'],[]
9150,瘄,,[],['シャク'],['やまい'],[]
9151,瘇,,[],"['ショウ', 'ジュ']",['は.れる'],[]
9152,瘈,,"['prolonged fever', 'chronic malaria']","['ケイ', 'セイ']",['くる.う'],[]
9153,瘊,,"['warts', 'pimples']","['コウ', 'グ']",['いぼ'],[]
9154,瘌,,"['severe', 'poisonous', 'dangerous', 'itch and other skin diseases']","['ラツ', 'ラチ', 'ライ']",['きず'],[]
9155,瘏,,['ill'],"['ト', 'ズ']",['や.む'],[]
9156,瘒,,[],['ゴン'],['おろ.か'],[]
9157,瘓,,"['paralysis', 'numbness of limbs']",['タン'],['や.む'],[]
9158,瘕,,"['asthma', 'disease of the bowels']","['カ', 'ケ']",['やまい'],[]
9159,瘖,,"['dumb', 'mute', 'unable speak']","['イン', 'オン']",['おし'],[]
9160,瘙,,['itch'],['ソウ'],['かさ'],[]
9161,瘛,,[],"['セイ', 'セツ', 'セチ']",['ひきつ.け'],[]
9162,瘜,,['polypus'],"['ショク', 'ソク']",[],[]
9163,瘝,,"['illness', 'pain', 'neglect', 'useless']","['カン', 'ケン']",['や.む'],[]
9164,瘞,,"['bury', 'inter']",['エイ'],['うず.める'],[]
9165,瘣,,[],"['カイ', 'ライ']",['や.む'],[]
9166,瘥,,"['to recover from any disease', 'an epidemic']","['サ', 'シャ', 'サイ']",['い.える'],[]
9167,瘦,,"['thin', 'emaciated', 'lean', 'meager']","['ソウ', 'チュウ', 'シュウ', 'チュ']",['やせ.る'],[]
9168,瘩,,['pimples'],['トウ'],['はれもの'],[]
9169,瘭,,['whitlow'],['ヒョウ'],['はれもの'],[]
9170,瘲,,"['spasms or convulsions in young children', 'caused by indigestion']","['ショウ', 'シュ']",['ひきつ.け'],[]
9171,瘳,,"['to be healed', 'to reform']","['チュウ', 'チュ', 'リョウ']",['い.える'],[]
9172,瘵,,['wasting disease'],"['サイ', 'セイ']",['や.む'],[]
9173,瘸,,"['lameness', 'paralysis of hands', 'leg']","['カ', 'クウ']",[],[]
9174,瘹,,[],['チョウ'],['くる.う'],[]
9175,瘺,,"['anal fistula', 'tumor', 'sore']","['ル', 'ロウ']","['せむし', 'かさ', 'できもの']",[]
9176,瘼,,"['sickness', 'distress']","['バク', 'マク']",['や.む'],[]
9177,癊,,['disease of the heart'],"['イン', 'オン']",[],[]
9178,癀,,['jaundice'],"['コウ', 'オウ']",[],[]
9179,癁,,[],['フク'],['や.む'],[]
9180,癃,,"['weakness', 'infirmity', 'retention of urine']","['リュウ', 'リュ']",['つか.れる'],[]
9181,癄,,[],"['ショウ', 'ソウ']","['やつ.れる', 'やせ.る']",[]
9182,癅,,[],"['リュウ', 'ル']",['こぶ'],[]
9183,癉,,"['to hate bitterly', 'drought', 'dry']","['タン', 'タ']",['やす.む'],[]
9184,癋,,[],['カク'],[],[]
9185,癕,,['loss of the sense of smell'],['ヨウ'],['はれもの'],[]
9186,癙,,['ill'],['ショ'],[],[]
9187,癟,,"['shrivelled up', 'dried up', 'vexed']","['ハツ', 'ヘツ', 'ベチ']",['とべない'],[]
9188,癤,,"['pimple', 'sore', 'boil']","['セツ', 'セチ']",['かさ'],[]
9189,癥,,['obstruction of bowels'],['チョウ'],['しこり'],[]
9190,癭,,"['swelling', 'goitre']","['エイ', 'ヨウ']",['こぶ'],[]
9191,癮,,"['rash', 'addiction', 'craving', 'habit']","['イン', 'オン']",['はれもの'],[]
9192,癯,,"['thin', 'emaciated', 'worn', 'tired']",['ク'],['やせ.る'],[]
9193,癱,,"['paralysis', 'palsy', 'numbness']",['タン'],['しび.れる'],[]
9194,癴,,[],['レン'],"['やせ.る', 'や.む']",[]
9195,皁,,"['black', 'police runners (from the black clothes formerly worn by them)']",['ソウ'],['しもべ'],[]
9196,皅,,[],"['ハ', 'ヘ']",[],[]
9197,皌,,[],"['バツ', 'マチ']",[],[]
9198,皍,,[],['ソク'],"['つ.く', 'つ.ける', 'すなわ.ち']",[]
9199,皕,,[],"['ヒョク', 'ヒキ', 'ヒ']",[],[]
9200,皛,,[],"['キョウ', 'テイ', 'ハク']",['あらわ.れる'],[]
9201,皜,,"['white', 'bright', 'clear', 'pure']",['コウ'],[],[]
9202,皝,,"['luminous', 'bright hoary', 'white']","['コウ', 'オウ']",[],[]
9203,皟,,[],['サク'],"['きよ.い', 'やせ.る']",[]
9204,皠,,[],"['サイ', 'セ']",['しろ.い'],[]
9205,皢,,[],['キョウ'],"['しろ.い', 'あき.らか']",[]
9206,皣,,[],['ヨウ'],[],[]
9207,皤,,"['white', 'grey', 'corpulent']","['ハ', 'ハン']",[],[]
9208,皥,,"['bright', 'brilliant']",['コウ'],['あき.らか'],[]
9209,皦,,"['bright white', 'bright', 'clear']",['キョウ'],['しろ.い'],[]
9210,皧,,[],['アイ'],['きよ.い'],[]
9211,皨,,[],"['セイ', 'ショウ']",['ほし'],[]
9212,皪,,[],"['レキ', 'リャク', 'ラク', 'ハク']",['しろ.い'],[]
9213,皭,,"['white', 'bright', 'clear', 'clean']","['シャク', 'ザク', 'ショウ']",['しろ.い'],[]
9214,皽,,['scurf'],"['テン', 'セン', 'シュウ', 'タン']",['かわ'],[]
9215,盁,,[],['エイ'],"['み', 'み.ちる']",[]
9216,盅,,"['small cup', 'small bowl']","['チュウ', 'ジュ']",['むな.しい'],[]
9217,盉,,[],"['カ', 'ワ', 'クウ']",['ととの.える'],[]
9218,盋,,[],"['ハツ', 'ハチ']",['わん'],[]
9219,盌,,"['bowl', 'basin', 'cup']",['ワン'],[],[]
9220,盎,,"['cup', 'pot', 'bowl', 'abundant']",['オウ'],['はち'],[]
9221,盔,,"['helmet', 'bowl', 'basin']",['カイ'],['はち'],[]
9222,盙,,"['basket', 'square outside and round inside', 'used to hold boiled grain in State worship']",['フ'],[],[]
9223,盠,,[],"['レイ', 'ライ', 'リ']","['ひさご', 'わりご']",[]
9224,盦,,"['lid of a cauldron', 'Buddhist cloister']","['オウ', 'アン', 'オン']",['ふた'],[]
9225,盨,,[],"['シュ', 'ス', 'ショ', 'ソ']",['うつわ'],[]
9226,盬,,"['salt pit', 'leisure', 'pot', 'drink']","['コ', 'ク']",['あらしお'],[]
9227,盰,,[],['カン'],['しろめ'],[]
9228,盱,,"['wide open eyes', 'to gaze in astonishment']","['ク', 'ウ', 'コ']",[],[]
9229,盶,,[],"['ゲン', 'ギン', 'ガン']","['もと.る', 'おと.る']",[]
9230,盹,,"['to doze', 'to nap', 'to nod']",['シュン'],[],[]
9231,盼,,"['look', 'gaze', 'expect', 'hope for']","['ハン', 'ヘン', 'フン']",[],[]
9232,眀,,[],"['ベイ', 'ミョウ']",['みる'],[]
9233,眆,,['indistinct'],['ホウ'],"['ほの.か', 'なら.う']",[]
9234,眊,,"['dim-sighted', 'eyes not seeing clearly']","['ボウ', 'モウ', 'バク', 'マク']",['くら.い'],[]
9235,眎,,"['look at', 'inspect', 'observe', 'see']",['シ'],['み.る'],[]
9236,眒,,[],['シン'],"['みは.る', 'はや.い', 'おどろ.く']",[]
9237,眔,,[],['トウ'],[],[]
9238,眕,,['restraint'],"['シン', 'チン']",[],[]
9239,眗,,[],"['ク', 'コウ']",[],[]
9240,眙,,['to gaze at'],"['チ', 'チョウ', 'イ']",['み.つめる'],[]
9241,眚,,"['disease of the eyes', 'crime', 'fault']","['セイ', 'ショウ']",[],[]
9242,眜,,[],"['バツ', 'マチ', 'ベツ', 'メチ']",['くら.い'],[]
9243,眢,,['eyes without brightness'],"['ワン', 'エン', 'オン']",[],[]
9244,眨,,['wink'],"['ソウ', 'ショウ']",['またた.く'],[]
9245,眭,,[],"['キ', 'ケイ', 'エ', 'スイ']",[],[]
9246,眮,,[],"['トウ', 'ズ']","['まぶち', 'みまわ.す']",[]
9247,眯,,['be blinded'],"['ベイ', 'マイ', 'ビ', 'ミ']",['くる.む'],[]
9248,眴,,"['dazzled', 'signal with eyes']","['ケン', 'シュン']","['またた.く', 'めくわ.す', 'めくわ.せる']",[]
9249,眵,,['eyes diseased and dim'],['シ'],['まなじりをいた.める'],[]
9250,眶,,"['eye socket', 'rim of eye', 'eyelid']","['キョウ', 'コウ']",['まぶた'],[]
9251,眹,,['pupil'],"['チン', 'ジン', 'ショウ']",['ひとみ'],[]
9252,眽,,"['to gaze', 'to ogle', 'to look at']","['バク', 'ミャク', 'ベキ']",[],[]
9253,眾,,"['masses', 'people', 'multitude', 'crowd']","['シュウ', 'シュ']",['おお.い'],[]
9254,睂,,[],"['ビ', 'ミ']",['まゆ'],[]
9255,睅,,['big-eyed'],"['カン', 'ゲン']",[],[]
9256,睆,,['bright'],"['カン', 'ゲン', 'ワン']",[],[]
9257,睊,,"['see', 'look', 'gaze at', 'askance']","['エン', 'ダン']",['ぬすみ.みる'],[]
9258,睍,,"['look at with fear', 'over-cautious']",['ケン'],[],[]
9259,睎,,"['to long for', 'to gaze at']","['キ', 'ケ']",[],[]
9260,睏,,"['be tired', 'sleepy']",['コン'],['ねむ.る'],[]
9261,睒,,"['to glance at', 'to peep', 'glittering', 'to shine']","['セン', 'ダン']",['ぬすみ.みる'],[]
9262,睖,,['to stare straight ahead'],"['チョウ', 'リョウ']",['みる'],[]
9263,睗,,[],"['セキ', 'シャク']",['いなびかり'],[]
9264,睜,,"['open eyes', 'stare']","['セイ', 'ジョウ']",['めっき'],[]
9265,睞,,"['squint at', 'sidelong glance']",['ライ'],['みる'],[]
9266,睟,,['clear-eyed'],"['スイ', 'サイ']",['あき.らか'],[]
9267,睠,,"['to care for', 'love']",['ケン'],['かえり.みる'],[]
9268,睢,,"['gaze at', 'stare at', 'uninhibited', 'open eyes wide']","['キ', 'ケイ', 'ケ', 'スイ']",['みあ.げる'],[]
9269,睤,,[],['ヘイ'],"['ながしめ', 'み.る']",[]
9270,睧,,[],['コン'],['くら.い'],[]
9271,睪,,['spy on'],"['エキ', 'ヤク', 'ジョウ', 'ニョウ']",['うかがい.める'],[]
9272,睬,,"['notice', 'pay attention to']",['サイ'],[],[]
9273,睰,,[],"['バツ', 'マチ']",['みる'],[]
9274,睲,,[],"['セイ', 'ショウ']","['みる', 'ひとみがかがや.く']",[]
9275,睳,,[],"['ケイ', 'ケ']",['かす.む'],[]
9276,睴,,[],['コン'],['みる'],[]
9277,睺,,[],"['コウ', 'グ']",['かた.める'],[]
9278,睽,,['staring'],"['ケイ', 'ケ', 'キ']",[],[]
9279,瞀,,"['to look at closely', 'nearsighted', 'dim', 'indistinct vision']","['ボツ', 'ボウ', 'モ', 'ム', 'バク', 'マク']",[],[]
9280,瞄,,"['take aim at', 'look at']",['ビョウ'],['み.つめる'],[]
9281,瞌,,"['doze off', 'sleepy']",['コウ'],[],[]
9282,瞍,,"['blind', 'no pupil in the eye']","['ソウ', 'ス', 'ショウ']",['めくら'],[]
9283,瞔,,[],"['サク', 'シャク']",[],[]
9284,瞕,,['cataract in the eye'],['ショウ'],['かす.む'],[]
9285,瞖,,"['cataract', 'film over the eye']",['エイ'],[],[]
9286,瞚,,[],['シュン'],['またた.く'],[]
9287,瞟,,"['glare at', 'look askance at', 'squint', 'scrutinizing search']",['ヒョウ'],['み.る'],[]
9288,瞢,,"['obscured eyesight', 'to feel ashamed']","['ボウ', 'ム', 'モウ']",['くら.い'],[]
9289,瞧,,"['glance at', 'look at', 'see']",['ショウ'],['ぬすみ.みる'],[]
9290,瞪,,['stare at'],['トウ'],['みは.る'],[]
9291,瞮,,[],"['テツ', 'テチ']",['あき.らか'],[]
9292,瞯,,"['to peep', 'to spy']","['カン', 'ケン']","['うわめづかい', 'ながしめ']",[]
9293,瞱,,[],['ヨウ'],[],[]
9294,瞵,,['to stare at'],"['リン', 'レン']",['ひとみ'],[]
9295,瞾,,[],['ショウ'],"['て.る', 'て.らす', 'て.れる']",[]
9296,矃,,[],"['デイ', 'ゲイ', 'ニョウ', 'ネイ']",[],[]
9297,矉,,"['an angry glare', 'to open the eyes with anger']",['ヒン'],['にら.む'],[]
9298,矑,,"['the pupil of the eye', 'to see']","['ロ', 'ル']",['みる'],[]
9299,矒,,[],"['ボウ', 'ム', 'モウ']",['くら.い'],[]
9300,矕,,"['see', 'witness', 'inspect']","['バン', 'マン', 'ラン']","['み.る', 'みそな.わす']",[]
9301,矙,,['view'],['カン'],['み.る'],[]
9302,矞,,"['bore with awl', 'bright', 'charming']","['イツ', 'イチ', 'シュツ', 'ジュチ']",['あなをあ.ける'],[]
9303,矟,,['8 ft lance'],['サク'],['ほこ'],[]
9304,矠,,[],"['サク', 'シャク']",['ほこ'],[]
9305,矤,,[],['シン'],"['いわ.んや', 'は.ぐ', 'はぎ']",[]
9306,矦,,[],['コウ'],[],[]
9307,矪,,[],"['チュウ', 'チュ']",['くるりや'],[]
9308,矬,,['dwarf'],['サ'],[],[]
9309,矰,,['arrow with attached silk cord'],['ソウ'],[],[]
9310,矱,,"['measure', 'standard', 'criterion']",['ワク'],['ものさし'],[]
9311,矴,,['anchor'],['テイ'],['いかり'],[]
9312,矸,,"['rock', 'cliff']",['カン'],['きぬた'],[]
9313,矻,,"['toil', 'slave away', 'busy']","['コツ', 'クチ', 'カツ', 'カチ']",['いし'],[]
9314,砅,,[],"['レイ', 'リ', 'ヒョウ']",['わた.る'],[]
9315,砆,,['1/2 pr stone'],['フ'],['いし'],[]
9316,砉,,[],"['ケキ', 'キャク', 'カク', 'ワク']",[],[]
9317,砍,,"['hack', 'chop', 'cut', 'fell']","['カン', 'コン', 'キン']",['き.る'],[]
9318,砎,,[],"['カイ', 'カツ', 'ケチ']",['かた.い'],[]
9319,砑,,"['to grind', 'to calender', 'to polish', 'to roll with a stone roller']","['ガ', 'ゲ']",['する'],[]
9320,砝,,['balance weights'],"['キョウ', 'コウ', 'ホウ']",['かた.い'],[]
9321,砡,,[],"['ギク', 'ギョク', 'ゴク']",['そろ.える'],[]
9322,砢,,['pile of stones'],"['ラ', 'カ']",['いしづみ'],[]
9323,砣,,"['stone roller', 'heavy stone', 'weight', 'plummet']",['タ'],['いし'],[]
9324,砭,,"['stone probe', 'pierce', 'counsel']",['ヘン'],['いしばり'],[]
9325,砮,,['arrow-tip'],"['ド', 'ヌ']",['やじり'],[]
9326,砰,,"['sound of crashing stones', 'bang!']","['ホウ', 'ヒョウ']",[],[]
9327,砵,,['syllable'],"['オウ', 'ハツ']",[],[]
9328,砷,,['arsenic'],['シン'],[],[]
9329,硃,,"['red mole', 'cinnabar']",['シュ'],[],[]
9330,硄,,[],['コウ'],[],[]
9331,硇,,['kind of mineral'],"['ドウ', 'ニョウ']",[],[]
9332,硈,,[],"['カツ', 'ケチ']",['かた.い'],[]
9333,硌,,[],"['ラク', 'レキ', 'リャク']",[],[]
9334,硎,,['whetstone'],['ケイ'],['といし'],[]
9335,硒,,['Selenium (element)'],['セイ'],[],[]
9336,硜,,['sound of stones knocking together'],"['コウ', 'キョウ', 'ケイ']",[],[]
9337,硞,,[],"['カク', 'キャク', 'コク']",[],[]
